truetime,L,R,B,D,C
1.6200000000,19.7969850136,119.7969850136,80.2030149864,0.0000000000,0.0000000000
1.6250000000,19.7587597641,119.7587597641,80.2412402359,0.0000000000,0.0000000000
1.6300000000,19.7208381820,119.7208381820,80.2791618180,0.0000000000,0.0000000000
1.6350000000,19.6832177123,119.6832177123,80.3167822877,0.0000000000,0.0000000000
1.6400000000,19.6458958237,119.6458958237,80.3541041763,0.0000000000,0.0000000000
1.6450000000,19.6088700081,119.6088700081,80.3911299919,0.0000000000,0.0000000000
1.6500000000,19.5721377809,119.5721377809,80.4278622191,0.0000000000,0.0000000000
1.6550000000,19.5356966802,119.5356966802,80.4643033198,0.0000000000,0.0000000000
1.6600000000,19.4995442669,119.4995442669,80.5004557331,0.0000000000,0.0000000000
1.6650000000,19.4636781245,119.4636781245,80.5363218755,0.0000000000,0.0000000000
1.6700000000,19.4280958584,119.4280958584,80.5719041416,0.0000000000,0.0000000000
1.6750000000,19.3927950961,119.3927950961,80.6072049039,0.0000000000,0.0000000000
1.6800000000,19.3577734871,119.3577734871,80.6422265129,0.0000000000,0.0000000000
1.6850000000,19.3230287020,119.3230287020,80.6769712980,0.0000000000,0.0000000000
1.6900000000,19.2885584331,119.2885584331,80.7114415669,0.0000000000,0.0000000000
1.6950000000,19.2543603934,119.2543603934,80.7456396066,0.0000000000,0.0000000000
1.7000000000,19.2204323171,119.2204323171,80.7795676829,0.0000000000,0.0000000000
1.7050000000,19.1867719587,119.1867719587,80.8132280413,0.0000000000,0.0000000000
1.7100000000,19.1533770935,119.1533770935,80.8466229065,0.0000000000,0.0000000000
1.7150000000,19.1202455167,119.1202455167,80.8797544833,0.0000000000,0.0000000000
1.7200000000,19.0873750435,119.0873750435,80.9126249565,0.0000000000,0.0000000000
1.7250000000,19.0547635092,119.0547635092,80.9452364908,0.0000000000,0.0000000000
1.7300000000,19.0224087683,119.0224087683,80.9775912317,0.0000000000,0.0000000000
1.7350000000,18.9903086950,118.9903086950,81.0096913050,0.0000000000,0.0000000000
1.7400000000,18.9584611825,118.9584611825,81.0415388175,0.0000000000,0.0000000000
1.7450000000,18.9268641430,118.9268641430,81.0731358570,0.0000000000,0.0000000000
1.7500000000,18.8955155076,118.8955155076,81.1044844924,0.0000000000,0.0000000000
1.7550000000,18.8644132259,118.8644132259,81.1355867741,0.0000000000,0.0000000000
1.7600000000,18.8335552660,118.8335552660,81.1664447340,0.0000000000,0.0000000000
1.7650000000,18.8029396141,118.8029396141,81.1970603859,0.0000000000,0.0000000000
1.7700000000,18.7725642746,118.7725642746,81.2274357254,0.0000000000,0.0000000000
1.7750000000,18.7424272695,118.7424272695,81.2575727305,0.0000000000,0.0000000000
1.7800000000,18.7125266389,118.7125266389,81.2874733611,0.0000000000,0.0000000000
1.7850000000,18.6828604399,118.6828604399,81.3171395601,0.0000000000,0.0000000000
1.7900000000,18.6534267473,118.6534267473,81.3465732527,0.0000000000,0.0000000000
1.7950000000,18.6242236528,118.6242236528,81.3757763472,0.0000000000,0.0000000000
1.8000000000,18.5952492652,118.5952492652,81.4047507348,0.0000000000,0.0000000000
1.8050000000,18.5665017100,118.5665017100,81.4334982900,0.0000000000,0.0000000000
1.8100000000,18.5379791295,118.5379791296,81.4620208705,0.0000000000,0.0000000000
1.8150000000,18.5096796824,118.5096796824,81.4903203176,0.0000000000,0.0000000000
1.8200000000,18.4816015435,118.4816015435,81.5183984565,0.0000000000,0.0000000000
1.8250000000,18.4537429040,118.4537429040,81.5462570960,0.0000000000,0.0000000000
1.8300000000,18.4261019710,118.4261019710,81.5738980290,0.0000000000,0.0000000000
1.8350000000,18.3986769672,118.3986769672,81.6013230328,0.0000000000,0.0000000000
1.8400000000,18.3714661314,118.3714661314,81.6285338686,0.0000000000,0.0000000000
1.8450000000,18.3444677175,118.3444677175,81.6555322825,0.0000000000,0.0000000000
1.8500000000,18.3176799949,118.3176799949,81.6823200051,0.0000000000,0.0000000000
1.8550000000,18.2911012482,118.2911012482,81.7088987518,0.0000000000,0.0000000000
1.8600000000,18.2647297771,118.2647297771,81.7352702229,0.0000000000,0.0000000000
1.8650000000,18.2385638962,118.2385638962,81.7614361038,0.0000000000,0.0000000000
1.8700000000,18.2126019346,118.2126019346,81.7873980654,0.0000000000,0.0000000000
1.8750000000,18.1868422364,118.1868422364,81.8131577636,0.0000000000,0.0000000000
1.8800000000,18.1612831599,118.1612831599,81.8387168401,0.0000000000,0.0000000000
1.8850000000,18.1359230778,118.1359230778,81.8640769222,0.0000000000,0.0000000000
1.8900000000,18.1107603770,118.1107603770,81.8892396230,0.0000000000,0.0000000000
1.8950000000,18.0857934585,118.0857934585,81.9142065415,0.0000000000,0.0000000000
1.9000000000,18.0610207370,118.0610207370,81.9389792630,0.0000000000,0.0000000000
1.9050000000,18.0364406411,118.0364406411,81.9635593589,0.0000000000,0.0000000000
1.9100000000,18.0120516132,118.0120516132,81.9879483868,0.0000000000,0.0000000000
1.9150000000,17.9878521089,117.9878521089,82.0121478911,0.0000000000,0.0000000000
1.9200000000,17.9638405974,117.9638405974,82.0361594026,0.0000000000,0.0000000000
1.9250000000,17.9400155612,117.9400155612,82.0599844388,0.0000000000,0.0000000000
1.9300000000,17.9163754955,117.9163754956,82.0836245045,0.0000000000,0.0000000000
1.9350000000,17.8929189091,117.8929189091,82.1070810909,0.0000000000,0.0000000000
1.9400000000,17.8696443232,117.8696443232,82.1303556768,0.0000000000,0.0000000000
1.9450000000,17.8465502719,117.8465502719,82.1534497281,0.0000000000,0.0000000000
1.9500000000,17.8236353019,117.8236353019,82.1763646981,0.0000000000,0.0000000000
1.9550000000,17.8008979725,117.8008979725,82.1991020275,0.0000000000,0.0000000000
1.9600000000,17.7783368553,117.7783368553,82.2216631447,0.0000000000,0.0000000000
1.9650000000,17.7559505341,117.7559505341,82.2440494659,0.0000000000,0.0000000000
1.9700000000,17.7337376050,117.7337376050,82.2662623950,0.0000000000,0.0000000000
1.9750000000,17.7116966759,117.7116966759,82.2883033241,0.0000000000,0.0000000000
1.9800000000,17.6898263669,117.6898263669,82.3101736331,0.0000000000,0.0000000000
1.9850000000,17.6681253097,117.6681253097,82.3318746903,0.0000000000,0.0000000000
1.9900000000,17.6465921478,117.6465921478,82.3534078522,0.0000000000,0.0000000000
1.9950000000,17.6252255361,117.6252255361,82.3747744639,0.0000000000,0.0000000000
2.0000000000,17.6040241412,117.6040241412,82.3959758588,0.0000000000,0.0000000000
2.0050000000,17.5829866410,117.5829866410,82.4170133590,0.0000000000,0.0000000000
2.0100000000,17.5621117245,117.5621117245,82.4378882755,0.0000000000,0.0000000000
2.0150000000,17.5413980921,117.5413980921,82.4586019079,0.0000000000,0.0000000000
2.0200000000,17.5208444550,117.5208444550,82.4791555450,0.0000000000,0.0000000000
2.0250000000,17.5004495355,117.5004495355,82.4995504645,0.0000000000,0.0000000000
